gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
yciM,0.054700855,-1.735036413,FALSE,FALSE,TRUE
pyrF,0.134146341,8.907496736,FALSE,TRUE,FALSE
yciH,0.220183486,17.28467562,FALSE,TRUE,FALSE
osmB,0.337899543,27.09461319,FALSE,TRUE,FALSE
yciT,0.168,12.40252343,FALSE,TRUE,FALSE
yciZ,0.206896552,16.08545164,FALSE,TRUE,FALSE
gmr,0.129909366,8.444076797,FALSE,TRUE,FALSE
ymiB,0.00952381,-15.97603279,TRUE,FALSE,FALSE
rnb,0.088372093,3.43362695,FALSE,FALSE,TRUE
yciW,0.105496454,5.620202434,FALSE,TRUE,FALSE
fabI,0.001267427,-29.80636683,TRUE,FALSE,FALSE
ycjD,0.127118644,8.135024381,FALSE,TRUE,FALSE
sapF,0.105328377,5.599693479,FALSE,TRUE,FALSE
sapD,0.095669688,4.391006372,FALSE,TRUE,FALSE
sapC,0.109988777,6.162304014,FALSE,TRUE,FALSE
sapB,0.109730849,6.131486566,FALSE,TRUE,FALSE
sapA,0.097931873,4.679676812,FALSE,TRUE,FALSE
ymjA,0.146341463,10.20585582,FALSE,TRUE,FALSE
puuP,0.111832612,6.381557471,FALSE,TRUE,FALSE
puuA,0.11627907,6.903006806,FALSE,TRUE,FALSE
puuD,0.11503268,6.757847467,FALSE,TRUE,FALSE
puuR,0.134408602,8.935960319,FALSE,TRUE,FALSE
puuC,0.098790323,4.78828809,FALSE,TRUE,FALSE
puuB,0.112412178,6.450100343,FALSE,TRUE,FALSE
puuE,0.120063191,7.339129276,FALSE,TRUE,FALSE
pspF,0.114519427,6.697847272,FALSE,TRUE,FALSE
pspA,0.080717489,2.38063281,FALSE,FALSE,TRUE
pspB,0.128888889,8.331427386,FALSE,TRUE,FALSE
pspC,0.102777778,5.286367319,FALSE,TRUE,FALSE
pspD,0.076576577,1.786839387,FALSE,FALSE,TRUE
pspE,0.282539683,22.62991358,FALSE,TRUE,FALSE
ycjM,0.239285714,18.96717726,FALSE,TRUE,FALSE
ycjN,0.163186388,11.92492614,FALSE,TRUE,FALSE
ycjO,0.138321995,9.357748102,FALSE,TRUE,FALSE
ycjP,0.118623962,7.174054565,FALSE,TRUE,FALSE
ycjQ,0.106362773,5.725646564,FALSE,TRUE,FALSE
ycjR,0.125475285,7.951551422,FALSE,TRUE,FALSE
ycjS,0.134469697,8.942587432,FALSE,TRUE,FALSE
ycjT,0.112433862,6.452661396,FALSE,TRUE,FALSE
ycjU,0.115151515,6.771720673,FALSE,TRUE,FALSE
ycjV,0.225300092,17.73988713,FALSE,TRUE,FALSE
ompG,0.397350993,31.69029931,FALSE,TRUE,FALSE
ycjW,0.262262262,20.93546226,FALSE,TRUE,FALSE
ycjX,0.120886981,7.433185985,FALSE,TRUE,FALSE
ycjF,0.124293785,7.818943278,FALSE,TRUE,FALSE
tyrR,0.088845655,3.497047125,FALSE,FALSE,TRUE
tpx,0.134122288,8.904884963,FALSE,TRUE,FALSE
ycjG,0.107660455,5.882775275,FALSE,TRUE,FALSE
mpaA,0.14266118,9.819247668,FALSE,TRUE,FALSE
ymjC,0.094202899,4.201867967,FALSE,TRUE,FALSE
ymjD,0.151515152,10.74231416,FALSE,TRUE,FALSE
ycjY,0.191096634,14.62352776,FALSE,TRUE,FALSE
pgrR,0.22,17.26828597,FALSE,TRUE,FALSE
mppA,0.225526642,17.75996267,FALSE,TRUE,FALSE
ynaI,0.262596899,20.9637307,FALSE,TRUE,FALSE
insH1,0.399213373,31.83161138,FALSE,TRUE,FALSE
ynaJ,0.089147287,3.537344061,FALSE,FALSE,TRUE
uspE,0.113564669,6.58587996,FALSE,TRUE,FALSE
fnr,0.078353254,2.043861624,FALSE,FALSE,TRUE
ogt,0.075581395,1.641326194,FALSE,FALSE,TRUE
abgT,0.081204977,2.449355656,FALSE,FALSE,TRUE
abgB,0.104426003,5.489295412,FALSE,TRUE,FALSE
abgA,0.122044241,7.564798891,FALSE,TRUE,FALSE
abgR,0.123212321,7.697039202,FALSE,TRUE,FALSE
smrA,0.095744681,4.400634321,FALSE,TRUE,FALSE
ydaM,0.134630981,8.960075714,FALSE,TRUE,FALSE
ydaN,0.134146341,8.907496736,FALSE,TRUE,FALSE
dbpA,0.098981077,4.812354193,FALSE,TRUE,FALSE
ttcA,0.121794872,7.536489307,FALSE,TRUE,FALSE
intR,0.21197411,16.5467709,FALSE,TRUE,FALSE
ydaQ,0.305555556,24.51206082,FALSE,TRUE,FALSE
rcbA,0.1,4.940490807,FALSE,TRUE,FALSE
ralR,0.230769231,18.22269315,FALSE,TRUE,FALSE
recT,0.217283951,17.02513596,FALSE,TRUE,FALSE
recE,0.121491734,7.502038249,FALSE,TRUE,FALSE
racC,0.163043478,11.91066055,FALSE,TRUE,FALSE
