object_id,formula
CPLX0-8103,[Tsr]$_{2}$
CPLX0-7754,[UhpA]$_{2}$
CPLX0-3939,[UspG]$_{2}$
CPLX0-7816,[YbaB]$_{2}$
CPLX0-8129,[YbcN]$_{2}$
CPLX0-7981,[YbdG]$_{7}$
CPLX0-7827,[YbdK]$_{2}$
CPLX0-1863,[YbgI]$_{6}$
CPLX0-8184,[YbiB]$_{2}$
CPLX0-7983,[YbiO]$_{7}$
CPLX0-661,[YcaC]$_{8}$
CPLX0-7945,[YcdX]$_{3}$
CPLX0-8240,[YchF]$_{2}$
CPLX0-7444,[YciF]$_{2}$
CPLX0-8281,[YdgA]$_{2}$
CPLX0-3923,[YdhR]$_{2}$
CPLX0-8185,[YdiE]$_{2}$
CPLX0-7668,[YdjA]$_{2}$
CPLX0-7929,[YefM]$_{2}$
CPLX0-8248,[YfcE]$_{4}$
CPLX0-7933,[YgeW]$_{3}$
CPLX0-3141,[YgiN]$_{2}$
CPLX0-8269,[YgjH]$_{2}$
CPLX0-7853,[YihI]$_{2}$
CPLX0-8259,[YiiM]$_{2}$
CPLX0-7422,[YjtD]$_{2}$
CPLX0-7982,[YnaI]$_{7}$
CPLX0-7538,[ZapA]$_{4}$
CPLX0-7686,[ZapB]$_{2}$
CPLX0-7973,[ZapD]$_{2}$
CPLX0-8204,[ZraP]$_{8}$
CPLX0-7679,[Zur]$_{2}$
