septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.4901,1.6011,1.0401,70,14,24,46,6.3787,3.965,18,2.4137,0.7099,2076141,2076150
0.4836,1.53,1.073,68,14,32,36,5.9157,3.1261,24,2.7897,0.7051,2076150,2076162
0.5131,1.3547,1.236,62,18,30,32,4.9409,2.47,30,2.4709,0.6827,2083039,2083054
0.5081,1.4363,1.1539,66,22,26,40,5.7207,2.535,32,3.1857,0.6337,2083054,2083070
0.4941,1.5131,1.1718,60,28,32,28,5.5311,2.9069,26,2.6242,0.6661,2083070,2083083
0.4998,1.4764,0.9589,72,18,30,42,6.1128,2.7331,32,3.3797,0.6892,2083083,2083099
0.533,1.6385,0.9914,70,14,28,42,6.2776,3.055,26,3.2226,0.6692,2083099,2083112
0.4996,1.3792,1.0725,56,20,28,28,4.9511,3.3461,18,1.605,0.6406,2083112,2083121
0.5176,1.4017,1.3001,58,20,24,34,5.5388,2.4734,34,3.0653,0.7063,2083121,2083138
0.4942,1.3904,1.2367,60,18,20,40,5.2755,2.8666,26,2.4088,0.6953,2083138,2083151
0.4873,1.4035,1.171,60,28,18,42,5.085,2.6073,28,2.4777,0.6289,2083151,2083165
0.4978,1.4288,1.3828,58,16,24,34,5.4908,2.8666,28,2.6242,0.6833,2091027,2091041
0.4993,1.5186,1.236,64,20,30,34,6.1238,2.7331,32,3.3907,0.6467,2091041,2091057
0.5364,1.4629,1.1542,66,22,28,38,6.0697,3.0578,28,3.0119,0.6653,2091057,2091071
0.494,1.4188,1.2676,64,24,28,36,6.3276,3.2558,28,3.0718,0.6669,2091071,2091085
0.4935,1.511,1.2205,60,20,32,28,5.7973,3.191,24,2.6063,0.6434,2091113,2091125
0.5122,1.3496,1.2026,60,16,26,34,5.463,2.8607,26,2.6023,0.6614,2091125,2091138
0.5103,1.4001,1.1223,64,14,30,34,5.3502,2.798,28,2.5522,0.6651,2091138,2091152
0.5058,1.3822,1.1217,62,20,24,38,5.3989,2.73,28,2.6689,0.6353,2091152,2091166
0.4996,1.3908,1.105,66,20,30,36,5.3403,2.86,28,2.4803,0.6812,2112036,2112050
0.5281,1.3217,1.2842,64,22,26,38,5.674,2.6682,32,3.0058,0.6806,2112050,2112066
0.4945,1.3291,1.1548,68,22,30,38,5.915,2.9964,30,2.9186,0.6806,2112066,2112081
0.5172,1.3397,1.1867,64,26,26,38,5.5351,2.925,28,2.6101,0.6909,2112081,2112095
0.5224,1.3676,1.1376,70,20,30,40,5.8535,2.863,32,2.9906,0.6873,2112095,2112111
0.4824,1.4125,1.1718,62,22,28,34,5.4053,3.0578,24,2.3476,0.6721,2112111,2112123
0.51,1.3411,1.1231,72,22,38,34,6.257,2.6073,38,3.6497,0.7023,2112123,2112142
0.4539,1.466,1.3037,66,24,32,34,6.308,3.191,28,3.117,0.7352,2112142,2112156
0.4932,1.2678,1.0239,70,26,30,40,5.2977,2.8666,30,2.4311,0.6655,2120075,2120090
0.5197,1.2265,1.0076,74,20,30,44,5.1421,2.613,32,2.5292,0.6763,2120090,2120106
0.5132,1.3629,1.0889,68,22,30,38,5.0807,2.6721,28,2.4086,0.6753,2120106,2120120
0.5068,1.4459,1.1231,64,26,28,36,5.461,2.6073,30,2.8537,0.664,2120120,2120135
0.498,1.4102,1.0898,64,22,24,40,5.3655,2.7677,28,2.5979,0.6615,2120135,2120149
0.5,1.4345,1.0574,70,22,26,44,6.1155,2.6721,34,3.4434,0.6828,2120149,2120166
0.4943,1.3286,1.0567,66,22,30,36,4.7991,2.5425,28,2.2566,0.6824,2127067,2127081
0.5218,1.3221,1.0239,66,22,28,38,4.7746,2.3723,30,2.4024,0.6553,2127081,2127096
0.5067,1.3096,1.0411,64,22,30,34,4.6196,2.4913,28,2.1283,0.6751,2127096,2127110
0.4939,1.332,1.073,62,26,36,26,4.754,2.3409,30,2.4131,0.6767,2127110,2127125
0.5255,1.3172,1.1217,68,26,28,40,5.3704,2.3481,36,3.0223,0.6885,2127125,2127143
0.5424,1.302,1.138,62,28,28,34,4.6875,2.8221,24,1.8654,0.6581,2127143,2127155
0.3813,1.4128,0.9924,90,20,38,52,8.5257,2.275,54,6.2507,0.6589,2134035,2134062
0.4736,1.3137,1.1217,76,22,24,52,4.8217,3.2506,18,1.571,0.6652,2134062,2134071
